en,fr,es,zh
AD,DA,,
"ADEME, French Public Agency for Ecological Transition ",ADEME,,
"ADEME, French Public Agency for Ecological Transition",Agence de l'Environnement et de la Maîtrise de l'Énergie (ADEME),,
APCC,APCC,,
Accounting,Comptabilité,,
Accounting,Comptabilisation,,
Accounting exports,Exports comptables,,
Action plan,Plan d'action,,
Activity data,Donnée d’activité,,
Adaptation action,Action d'adaptation,,
Adaptation actions,Actions d'adaptation,,
Advanced level,Niveau avancé,,
Advanced level,Avancé (Niveau),,
Analytical axis,Axes analytiques,,
Analytical dimensions,Axes analytiques,,
Approach improvement action,Actions d’améliorations de la démarche,,
Approach's goal,Objectif de la démarche,,
Approche location-based,Approche location-based,,
Assessment review,Contrôle des bilans,,
Association,Association,,
Association for Low Carbon Transition,Association pour la transition Bas Carbone,,
Association for Low Carbon Transition (ABC),ABC,,
"Association of Professionals in Climate, Energy and Environment Consulting (APCC)","Association des Professionnels en Conseil Climat, Energie et Environnement (APCC)",,
Audited and compliant tools,Outils audités et conformes,,
Avoided emissions,Emissions évitées,,
Awareness,Sensibilisation,,
Awareness and popularisation,Sensibilisation et vulgarisation,,
BEGES-R,BEGES-R,,
Base Empreinte®,Base Empreinte®,,
Base year,Année de référence,,
Baseline scenario,Scénario de référence,,
Beginner level ,Niveau initial,,
Bilan Carbone®,Bilan Carbone®,,
Bilan Carbone® Collage,Fresque du Bilan Carbone®,,
Bilan Carbone® Evaluation,Evaluation d'un Bilan Carbone®,,
Bilan Carbone® report ,Rapport de restitution,,
Bilan Carbone® tools: Spreadsheets and Software,Outils Bilan Carbone® : Tableurs et Logiciel,,
Boundaries,Périmètres,,
CO2 equivalent,CO2 équivalent,,
CO2 equivalent (CO2eq),CO2 équivalent (CO2eq),,
CO2e,CO2e,,
CO2eq,CO2eq,,
Carbon accounting scale,Echelle de comptabilité carbone,,
Carbon assessment evaluation,Evaluation d'un bilan,,
Carbon neutrality,Neutralité carbone,,
Carbon offsetting,Compensation carbone,,
Category,Poste,,
Characterisation,Caractérisation,,
Characterisation factors,Facteur d'impact,,
Climate Vulnerability,Vulnérabilité Climatique,,
Climate shadow,Ombre Climatique,,
Coconstruction,Co-construction,,
Communication,Communication,,
Compatibility,Compatibilité,,
Compatibility of the approach with other frameworks,Compatibilité de la démarche avec d'autres référentiels,,
Confidence interval,Intervalle de confiance,,
Construction of the action plan,Construction du plan d'action,,
Consultant,Consultant.e,,
Consultant,Consultant,,
Consultant,Conseiller,,
Contrails,Traînées de condensation,,
Contributors: Acknowledgements,Contributeurs : Remerciements,,
Control (Approach),Contrôle (Mode de),,
Control (Mode of),Contrôle (Mode de),,
Control approach,Mode de contrôle,,
Coordinator,Pilote,,
Coordinator,Coordinateur,,
Coordinator,Coordinateur.ice,,
Corporate Social Responsibility (CSR),Responsabilité Sociétale des Organisations,,
Data collection,Collecte des données,,
Data collection matrix,Matrice de collecte des données,,
Define the management of the Bilan Carbone® approach,Définir le pilotage de la démarche Bilan Carbone®,,
Define your Bilan Carbone® maturity level,Définir son niveau de maturité Bilan Carbone®,,
Definition of objectives,Définition des objectifs,,
Definition of the transition pathway,Définition de la trajectoire de transition,,
Deliverables,Livrables,,
Direct GHG emissions,Emissions directes,,
Direct GHG emissions,Emissions directes de GES,,
Documentation,Documentation,,
Double counting,Double compte,,
EF,FE,,
Emission category,Catégorie d’émission,,
Emission category,Poste d’émissions,,
Emission factor database,Base de données de facteurs d'émission,,
Emission profile,Profil d'émission,,
Emission scope,Catégorie d’émission,,
Emission source,Source d'émission,,
Emission subcategory,Sous-poste d'émission,,
Emissions accounted for in a Bilan Carbone®,Les émissions comptabilisées dans un Bilan Carbone®,,
Empowerment,Responsabilisation,,
Equipment,Equipement,,
Establishment,Etablissement,,
Evaluation,Evaluation,,
Evaluation lead,Chef de projet d'évaluation,,
Evaluation of a Bilan Carbone®,Evaluation des bilans,,
Evaluation of a Bilan Carbone® assessment,Evaluation d'un bilan,,
Evaluation result,Résultat de l'évaluation,,
Evaluation team,Equipe d'évaluation,,
Facility,Installation,,
Financial control,Contrôle financier,,
GHG emission profile,Profil d'émission GES,,
GHG removal,Suppression de GES,,
GHG sink,Puit de GES,,
GHG source or emission source,Source de GES ou source d'émission,,
Global Warming Potential (GWP),Pouvoir ou Potentiel de Réchauffement Global (PRG),,
Governance,Gouvernance,,
Greenhouse gas (GHG),Gaz à effet de serre (GES),,
Hydrofluorocarbons (HFC),Hydrofluorocarbures (HFC),,
Immediate actions,Actions immédiates,,
Indirect GHG emissions,Emissions indirectes de GES,,
Induced emissions,Emissions induites,,
Inflation,Inflation,,
Kyoto Protocol,Protocole de Kyoto,,
Legal entity,Personne morale,,
Life Cycle Assessment (LCA),Analyse de Cycle de Vie (ACV),,
Log-normal distribution,Loi log-normale,,
Low carbon,Bas Carbone,,
Low-carbon strategy,Stratégie bas carbone ou stratégie de transition,,
Mobilisation,Mobilisation,,
Mobilisation action,Action de mobilisation,,
Monitoring tool,Dispositif de suivi,,
Normal distribution,Loi normale,,
OCCF,OCCF,,
Operational boundary,Périmètre opérationnel,,
Organisational boundary,Périmètre organisationnel,,
Organisational Social Responsibility (OSR),Responsabilité Sociétale des Organisations,,
Organisation,Organisation,,
Overshoot,Overshoot,,
Perfluorocarbons (PFC),Perfluorocarbures (PFC),,
Physical risks,Risques physiques,,
Pillar A,Pilier A,,
Pillar B,Pilier B,,
Pillar C,Pilier C,,
Priority actions,Actions prioritaires,,
Project champion,Porteur,,
RACI,RACI,,
Radiative forcing,Forçage radiatif,,
Reference framework,Référentiel,,
Reporting and communication,Restitution et communication,,
Reporting boundary,Périmètre de déclaration,,
Reporting year,Année de reporting,,
Restitution report,Rapport de restitution,,
Self-assessment,Autoévaluation,,
Sequestered or negative emissions,Emissions séquestrées ou émissions négatives,,
Significant emissions,Emissions significatives,,
Significance,Significativité,,
Spend-based emission factors,Ratios monétaires,,
Specific spend-based emission factors,Ratios monétaires spécifiques,,
Stakeholders,Parties Prenantes,,
Standard deviation and geometric standard deviation,Ecart-type et écart-type géométrique,,
Strategic actions,Actions stratégiques,,
Temporal boundary,Périmètre temporel,,
Time horizon,Horizon temporel,,
Transition pathway,Trajectoire de transition,,
Transition plan,Plan de transition,,
Transition plan objective,Objectif du plan de transition,,
Transition risks and opportunities,Risques et opportunités de transition,,
Transition vision,Vision de transition,,
Triple bottom line accounting,Triple comptabilité,,
Uncertainty,Incertitude,,
Validation,Validation,,
Verification,Vérification,,
